Date Time,Open,High,Low,Close,Volume
2022-07-08 03:02:30,31335,31336,31335,31335,8
2022-07-08 03:02:35,31334,31334,31334,31334,3
2022-07-08 03:02:40,31335,31336,31335,31336,5
2022-07-08 03:02:45,31337,31337,31337,31337,3
2022-07-08 03:02:50,31336,31336,31333,31333,8
2022-07-08 03:03:00,31334,31337,31333,31337,11
2022-07-08 03:03:05,31338,31340,31338,31339,18
2022-07-08 03:03:10,31339,31341,31339,31341,5
2022-07-08 03:03:15,31342,31342,31341,31341,6
2022-07-08 03:03:20,31341,31343,31341,31341,13
2022-07-08 03:03:25,31342,31343,31342,31343,2
2022-07-08 03:03:30,31343,31343,31343,31343,1
2022-07-08 03:03:35,31343,31344,31342,31343,8
2022-07-08 03:03:40,31344,31344,31344,31344,2
2022-07-08 03:03:45,31343,31344,31342,31344,3
2022-07-08 03:03:50,31344,31346,31344,31346,17
2022-07-08 03:03:55,31346,31349,31345,31345,40
2022-07-08 03:04:00,31346,31348,31346,31347,10
2022-07-08 03:04:05,31346,31348,31344,31344,14
2022-07-08 03:04:10,31344,31347,31344,31347,14
2022-07-08 03:04:15,31347,31349,31347,31349,17
2022-07-08 03:04:20,31348,31348,31345,31345,22
2022-07-08 03:04:25,31347,31347,31347,31347,2
2022-07-08 03:04:30,31348,31353,31347,31352,60
2022-07-08 03:04:35,31351,31352,31351,31352,7
2022-07-08 03:04:40,31352,31353,31352,31353,8
2022-07-08 03:04:45,31353,31354,31350,31352,23
2022-07-08 03:04:50,31351,31351,31351,31351,3
2022-07-08 03:04:55,31352,31352,31351,31352,7
2022-07-08 03:05:00,31353,31353,31352,31353,12
2022-07-08 03:05:05,31353,31357,31353,31354,49
2022-07-08 03:05:10,31356,31356,31355,31355,7
2022-07-08 03:05:15,31356,31356,31355,31355,7
2022-07-08 03:05:20,31356,31359,31355,31359,22
2022-07-08 03:05:25,31358,31362,31358,31360,30
2022-07-08 03:05:30,31360,31365,31359,31364,36
2022-07-08 03:05:35,31364,31367,31363,31366,56
2022-07-08 03:05:40,31366,31367,31363,31365,40
2022-07-08 03:05:45,31364,31365,31364,31365,6
2022-07-08 03:05:50,31366,31366,31365,31365,4
2022-07-08 03:05:55,31366,31366,31366,31366,7
2022-07-08 03:06:00,31367,31367,31360,31361,36
2022-07-08 03:06:05,31361,31363,31361,31363,7
2022-07-08 03:06:10,31362,31364,31362,31363,24
2022-07-08 03:06:15,31366,31367,31366,31367,8
2022-07-08 03:06:20,31367,31367,31365,31365,12
2022-07-08 03:06:25,31367,31369,31367,31367,10
2022-07-08 03:06:30,31369,31369,31366,31366,12
2022-07-08 03:06:35,31367,31367,31363,31365,19
2022-07-08 03:06:40,31366,31369,31365,31366,21
2022-07-08 03:06:45,31365,31366,31364,31364,9
2022-07-08 03:06:50,31363,31364,31362,31362,9
2022-07-08 03:06:55,31363,31366,31362,31362,16
2022-07-08 03:07:00,31363,31363,31360,31362,13
2022-07-08 03:07:05,31363,31363,31363,31363,1
2022-07-08 03:07:10,31365,31367,31365,31367,17
2022-07-08 03:07:15,31366,31371,31366,31371,18
2022-07-08 03:07:20,31370,31371,31365,31365,24
2022-07-08 03:07:25,31366,31366,31365,31365,3
2022-07-08 03:07:30,31365,31366,31364,31365,16
2022-07-08 03:07:35,31364,31364,31364,31364,2
2022-07-08 03:07:40,31363,31363,31363,31363,1
